campaign_id,advertiser,start_date,end_date,budget,target_impressions,delivered_impressions,clicks,ctr,pacing,status
C1001,Acme Corp,2023-05-01,2023-11-30,250000,5000000,4850000,121250,2.5,0.97,completed
C1002,TechVista,2023-06-15,2023-12-15,350000,7000000,5950000,178500,3.0,0.85,active
C1003,GreenLeaf,2023-07-01,2023-12-01,150000,3000000,3150000,94500,3.0,1.05,completed
C1004,MediConnect,2023-05-15,2023-11-15,500000,10000000,7500000,75000,1.0,0.75,underperforming
C1005,FinanceHub,2023-08-01,2023-12-31,200000,4000000,3800000,190000,5.0,0.95,active
C1006,RetailMax,2023-06-01,2023-10-31,400000,8000000,8400000,252000,3.0,1.05,completed
C1007,AutoDrive,2023-09-01,2023-12-31,100000,2000000,600000,6000,1.0,0.30,underperforming
C1008,HealthFirst,2023-07-15,2023-12-15,280000,5600000,5320000,106400,2.0,0.95,active
C1009,EduLearn,2023-08-15,2023-12-15,120000,2400000,2160000,64800,3.0,0.90,active
C1010,FoodCo,2023-06-01,2023-11-30,180000,3600000,3780000,113400,3.0,1.05,completed
C1011,Acme Corp,2023-08-01,2023-12-31,220000,4400000,4620000,92400,2.0,1.05,active
C1012,TechVista,2023-09-15,2023-12-31,300000,6000000,1800000,54000,3.0,0.30,underperforming
C1013,GreenLeaf,2023-07-01,2023-12-31,160000,3200000,2880000,86400,3.0,0.90,active
C1014,MediConnect,2023-08-15,2023-12-31,450000,9000000,6750000,67500,1.0,0.75,underperforming
C1015,FinanceHub,2023-05-01,2023-10-31,180000,3600000,3780000,189000,5.0,1.05,completed
C1016,RetailMax,2023-09-01,2023-12-31,350000,7000000,2100000,63000,3.0,0.30,underperforming
C1017,AutoDrive,2023-06-15,2023-11-30,250000,5000000,4750000,47500,1.0,0.95,completed
C1018,HealthFirst,2023-09-01,2023-12-31,200000,4000000,1200000,24000,2.0,0.30,paused
C1019,EduLearn,2023-05-15,2023-11-15,100000,2000000,2100000,63000,3.0,1.05,completed
C1020,FoodCo,2023-08-01,2023-12-31,240000,4800000,3840000,115200,3.0,0.80,active
C1021,Acme Corp,2023-10-01,2023-12-31,190000,3800000,1140000,22800,2.0,0.30,active
C1022,TechVista,2023-07-15,2023-12-15,320000,6400000,6080000,182400,3.0,0.95,active
C1023,GreenLeaf,2023-06-01,2023-11-30,140000,2800000,2940000,88200,3.0,1.05,completed
C1024,MediConnect,2023-09-15,2023-12-31,480000,9600000,2880000,28800,1.0,0.30,paused
C1025,FinanceHub,2023-06-15,2023-11-30,220000,4400000,4180000,209000,5.0,0.95,completed
C1026,RetailMax,2023-08-15,2023-12-31,380000,7600000,5700000,171000,3.0,0.75,active
C1027,AutoDrive,2023-07-01,2023-12-31,270000,5400000,5130000,51300,1.0,0.95,active
C1028,HealthFirst,2023-05-01,2023-10-31,260000,5200000,5460000,109200,2.0,1.05,completed
C1029,EduLearn,2023-09-01,2023-12-31,110000,2200000,660000,19800,3.0,0.30,paused
C1030,FoodCo,2023-07-15,2023-12-15,200000,4000000,3800000,114000,3.0,0.95,active
